&nbsp;   
__Top 100 Player and what they play__   
               
||Rating|Spec|Player| 
| 42 | 3510 | ⚔️🔮 Warlock Demonology | [Yunaka](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/yunaka) |          
| 43 | 3509 | ⚔️🔮 Warlock Demonology | [Redfish](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/redfish) |          
| 44 | 3508 | ⚔️🌸 Paladin Retribution | [Szeq](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/szeq) |          
| 45 | 3507 | ⚔️🌸 Demonhunter Havoc | [Noobender](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/noobender) |          
| 46 | 3505 | ⚔️🌸 Paladin Retribution | [Angelguards](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/angelguards) |          
| 47 | 3505 | ⚔️🔵 Shaman Elemental | [Meatbeaterx](https://worldofwarcraft.blizzard.com/en-us/character/us/aggramar/meatbeaterx) |          
| 48 | 3504 | ⚔️🧊 Mage Frost | [Emìlia](https://worldofwarcraft.blizzard.com/en-us/character/us/malygos/emìlia) |          
| 49 | 3502 | ⚔️🧊 Mage Arcane | [Junglejape](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/junglejape) |          
| 50 | 3501 | ⚔️🌸 Paladin Retribution | [Rexpeitaboot](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/rexpeitaboot) |          
| 51 | 3500 | ⚔️🌸 Paladin Retribution | [Wonderbread](https://worldofwarcraft.blizzard.com/en-us/character/us/drenden/wonderbread) |          
| 52 | 3500 | ⚔️🌸 Paladin Retribution | [Holychris](https://worldofwarcraft.blizzard.com/en-us/character/us/shadowmoon/holychris) |          
| 53 | 3500 | ⚔️🌸 Paladin Retribution | [Uneazyxx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/uneazyxx) |          
| 54 | 3500 | ⚔️🔮 Warlock Demonology | [Cidkagenou](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/cidkagenou) |          
| 55 | 3499 | ⚔️🧊 Mage Frost | [Aeghis](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/aeghis) |          
| 56 | 3498 | ⚔️🔮 Warlock Destruction | [Moóndust](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/moóndust) |          
| 57 | 3497 | ⚔️🌸 Paladin Retribution | [Pambeazley](https://worldofwarcraft.blizzard.com/en-us/character/us/bronzebeard/pambeazley) |          
| 58 | 3497 | ⚔️🔮 Warlock Demonology | [Baiw](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/baiw) |          
| 59 | 3497 | ⚔️🔮 Warlock Demonology | [Drakatat](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/drakatat) |          
| 60 | 3497 | ⚔️🔮 Warlock Destruction | [Nozomm](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/nozomm) |          
| 61 | 3496 | ⚔️🟠 Druid Balance | [Pannaxx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/pannaxx) |          
| 62 | 3496 | ⚔️🦖 Hunter Beastmastery | [Robotwo](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/robotwo) |          
| 63 | 3496 | ⚔️🍺 Monk Windwalker | [Thewy](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/thewy) |          
| 64 | 3496 | ⚔️🌸 Paladin Retribution | [Maxduo](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/maxduo) |          
| 65 | 3494 | ⚔️🟤️ Warrior Arms | [Swifty](https://worldofwarcraft.blizzard.com/en-us/character/us/anvilmar/swifty) |          
| 66 | 3492 | ⚔️🍺 Monk Windwalker | [Fidgtspinner](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/fidgtspinner) |          
| 67 | 3490 | ⚔️🔮 Warlock Demonology | [Nos](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/nos) |          
| 68 | 3488 | ⚔️🌸 Paladin Retribution | [Crudos](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/crudos) |          
| 69 | 3488 | ⚔️🌸 Paladin Retribution | [Côndemned](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/côndemned) |          
| 70 | 3488 | ⚔️🔵 Shaman Elemental | [Namikazé](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/namikazé) |          
| 71 | 3487 | ⚔️🌸 Paladin Retribution | [Sneakyret](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/sneakyret) |          
| 72 | 3487 | ⚔️🔮 Warlock Destruction | [Púp](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/púp) |          
| 73 | 3486 | ⚔️🦖 Hunter Beastmastery | [Pxry](https://worldofwarcraft.blizzard.com/en-us/character/us/drenden/pxry) |          
