||Rating|Spec|Player| 
| 121 | 3458 | warlock/demonology | Rezw |          
| 122 | 3458 | warlock/destruction | Retwarr |          
| 123 | 3458 | warlock/destruction | Søülætër |          
| 124 | 3457 | rogue/assassination | Fotg |          
| 125 | 3457 | warlock/demonology | Realization |          
| 126 | 3456 | shaman/enhancement | Mítsurí |          
| 127 | 3456 | warlock/destruction | Danaowns |          
| 128 | 3455 | paladin/retribution | Fosan |          
| 129 | 3455 | shaman/elemental | Beyoncé |          
| 130 | 3455 | warlock/demonology | Søülætër |          
| 131 | 3454 | paladin/retribution | Xenk |          
| 132 | 3453 | monk/windwalker | Yerky |          
| 133 | 3453 | rogue/subtlety | Nahj |          
| 134 | 3453 | shaman/elemental | Adele |          
| 135 | 3453 | warlock/destruction | Forestfruit |          
| 136 | 3450 | druid/feral | Snkykttyx |          
| 137 | 3450 | hunter/beastmastery | Cøntrøl |          
| 138 | 3450 | monk/windwalker | Color |          
| 139 | 3449 | demonhunter/havoc | Mvqdh |          
| 140 | 3448 | paladin/holy | Ryuzu |          
| 141 | 3448 | priest/shadow | Jwx |          
| 142 | 3447 | shaman/elemental | Monsutà |          
| 143 | 3447 | warlock/destruction | Roopx |          
| 144 | 3446 | deathknight/unholy | Pettyk |          
| 145 | 3445 | warlock/demonology | Daerde |          
| 146 | 3444 | hunter/marksmanship | Croqp |          
| 147 | 3442 | paladin/retribution | Rûñåwâÿ |          
| 148 | 3442 | shaman/elemental | Bronzer |          
| 149 | 3441 | monk/mistweaver | Mêlon |          
| 150 | 3441 | shaman/elemental | Mercs |          
| 151 | 3441 | shaman/elemental | Silentøløgy |          
| 152 | 3438 | shaman/elemental | Cashe |          
| 153 | 3437 | monk/windwalker | Keyam |          
| 154 | 3437 | warrior/arms | Magnusz |          
| 155 | 3436 | druid/feral | Faithxo |          
| 156 | 3436 | warlock/destruction | Drexia |          
| 157 | 3434 | warlock/demonology | Forestfruit |          
| 158 | 3433 | demonhunter/havoc | Mvqx |          
