||Champion|Points|Best Player|Worst Player| 
| 38 | Katarina | 390.0 | not played |  |
| 39 | Akshan | 387.5 | [Zeus Slayer](https://www.op.gg/summoners/euw/Zeus Slayer) | [lvyepeihonghua](https://www.op.gg/summoners/kr/lvyepeihonghua) |
| 40 | Jayce | 378.1 | [봄 여름 괄 겨울](https://www.op.gg/summoners/kr/봄 여름 괄 겨울) | [잘잘못해쓰요 TnT](https://www.op.gg/summoners/kr/잘잘못해쓰요 TnT) |
| 41 | Syndra | 370.8 | [the inescapable](https://www.op.gg/summoners/euw/the inescapable) | [Jiaqi3](https://www.op.gg/summoners/kr/Jiaqi3) |
| 42 | Zed | 369.5 | [plum blossoms](https://www.op.gg/summoners/euw/plum blossoms) | [PCS Kamiloo](https://www.op.gg/summoners/euw/PCS Kamiloo) |
| 43 | Annie | 352.9 | [lvyepeihonghua](https://www.op.gg/summoners/kr/lvyepeihonghua) | [팀운좋같노](https://www.op.gg/summoners/kr/팀운좋같노) |
| 44 | Varus | 350.3 | [Notiko](https://www.op.gg/summoners/euw/Notiko) | [asd233](https://www.op.gg/summoners/kr/asd233) |
| 45 | Evelynn | 326.6 | [S P L A S H 777](https://www.op.gg/summoners/euw/S P L A S H 777) |  |
| 46 | Rumble | 326.6 | [Vizícsacsi](https://www.op.gg/summoners/euw/Vizícsacsi) |  |
| 47 | Leona | 325.4 | [한계뚫기](https://www.op.gg/summoners/kr/한계뚫기) | [Dazbee9](https://www.op.gg/summoners/kr/Dazbee9) |
| 48 | Nunu & Willump | 320.0 | not played |  |
| 49 | Riven | 315.3 | [Been you](https://www.op.gg/summoners/euw/Been you) |  |
| 50 | Heimerdinger | 300.0 | [TL Honda Rovex](https://www.op.gg/summoners/na/TL Honda Rovex) |  |
| 51 | Irelia | 295.3 | [Aileri](https://www.op.gg/summoners/kr/Aileri) | [TwTVxKenzuke](https://www.op.gg/summoners/euw/TwTVxKenzuke) |
| 52 | Aurelion Sol | 283.5 | [Faker SIayer](https://www.op.gg/summoners/euw/Faker SIayer) | [앗싸 지렸다리](https://www.op.gg/summoners/kr/앗싸 지렸다리) |
| 53 | Qiyana | 264.4 | [elyoyaaaaaaaaaaa](https://www.op.gg/summoners/euw/elyoyaaaaaaaaaaa) |  |
| 54 | Lulu | 260.0 | [Nightmisty](https://www.op.gg/summoners/na/Nightmisty) | [라면이 맛있다](https://www.op.gg/summoners/kr/라면이 맛있다) |
| 55 | Xin Zhao | 250.3 | [정현심](https://www.op.gg/summoners/kr/정현심) | [바르고고운말해여](https://www.op.gg/summoners/kr/바르고고운말해여) |
| 56 | Samira | 240.5 | [bigboynumbers](https://www.op.gg/summoners/euw/bigboynumbers) | [LEC ADC 2024](https://www.op.gg/summoners/euw/LEC ADC 2024) |
| 57 | Alistar | 205.5 | [최상의](https://www.op.gg/summoners/kr/최상의) | [V Julius Caesar](https://www.op.gg/summoners/euw/V Julius Caesar) |
