||Champion|Points|Best Player|Worst Player| 
| 48 | Samira | 30.8 | [Kenal](https://www.op.gg/summoners/euw/Kenal) |  |
| 49 | Darius | 30.0 | not played |  |
| 50 | Elise | 30.0 | not played |  |
| 51 | Hecarim | 30.0 | not played |  |
| 52 | Kayn | 30.0 | not played |  |
| 53 | Nunu & Willump | 30.0 | not played |  |
| 54 | Udyr | 30.0 | not played |  |
| 55 | Zed | 30.0 | not played |  |
| 56 | Kha'Zix | 29.8 | [마가가 소가죽](https://www.op.gg/summoners/kr/마가가 소가죽) | [K405 N815](https://www.op.gg/summoners/euw/K405 N815) |
| 57 | Jayce | 24.2 | [Airflash](https://www.op.gg/summoners/na/Airflash) | [Haruuta1](https://www.op.gg/summoners/euw/Haruuta1) |
| 58 | Karma | 23.8 | [라면이 맛있다](https://www.op.gg/summoners/kr/라면이 맛있다) | [2 C U Again](https://www.op.gg/summoners/kr/2 C U Again) |
| 59 | Nautilus | 23.8 | [txiko polita](https://www.op.gg/summoners/euw/txiko polita) | [cha Liang](https://www.op.gg/summoners/kr/cha Liang) |
| 60 | Camille | 20.0 | not played |  |
| 61 | Ekko | 20.0 | not played |  |
| 62 | Katarina | 20.0 | not played |  |
| 63 | Pantheon | 20.0 | not played |  |
| 64 | Rek'Sai | 20.0 | not played |  |
| 65 | Rumble | 20.0 | not played |  |
| 66 | Trundle | 20.0 | not played |  |
| 67 | Varus | 20.0 | not played |  |
| 68 | Xin Zhao | 20.0 | not played |  |
| 69 | Yuumi | 20.0 | not played |  |
| 70 | Gwen | 17.8 | [Eclipse](https://www.op.gg/summoners/na/Eclipse) |  |
| 71 | Seraphine | 16.2 | [eiji](https://www.op.gg/summoners/na/eiji) |  |
| 72 | Gnar | 13.2 | [함볼게볼게](https://www.op.gg/summoners/kr/함볼게볼게) |  |
| 73 | Wukong | 12.6 | [viasdkjkasd](https://www.op.gg/summoners/kr/viasdkjkasd) |  |
| 74 | Tristana | 10.8 | [asd233](https://www.op.gg/summoners/kr/asd233) | [따가운 여름 햇살](https://www.op.gg/summoners/kr/따가운 여름 햇살) |
| 75 | Aatrox | 10.0 | not played |  |
| 76 | Ashe | 10.0 | not played |  |
| 77 | Aurelion Sol | 10.0 | not played |  |
| 78 | Azir | 10.0 | not played |  |
| 79 | Garen | 10.0 | not played |  |
| 80 | Senna | 10.0 | not played |  |
| 81 | Shaco | 10.0 | not played |  |
| 82 | Vex | 10.0 | not played |  |
| 83 | Zac | 10.0 | not played |  |
| 84 | Zoe | 10.0 | not played |  |
| 85 | Bel'Veth | 5.4 | [Maxlore](https://www.op.gg/summoners/euw/Maxlore) |  |
| 86 | Kennen | 5.2 | [V Julius Caesar](https://www.op.gg/summoners/euw/V Julius Caesar) |  |
| 87 | Sivir | 2.6 | [i wanted u](https://www.op.gg/summoners/kr/i wanted u) |  |
| 88 | Akali | 0.0 | not played |  |
| 89 | Alistar | 0.0 | not played |  |
| 90 | Amumu | 0.0 | not played |  |
| 91 | Anivia | 0.0 | not played |  |
| 92 | Bard | 0.0 | not played |  |
| 93 | Brand | 0.0 | not played |  |
| 94 | Braum | 0.0 | not played |  |
| 95 | Caitlyn | 0.0 | not played |  |
| 96 | Cho'Gath | 0.0 | not played |  |
| 97 | Corki | 0.0 | not played |  |
| 98 | Diana | 0.0 | not played |  |
| 99 | Dr. Mundo | 0.0 | not played |  |
| 100 | Ezreal | 0.0 | not played |  |
| 101 | Fizz | 0.0 | not played |  |
| 102 | Galio | 0.0 | not played |  |
| 103 | Gangplank | 0.0 | not played |  |
| 104 | Heimerdinger | 0.0 | not played |  |
| 105 | Illaoi | 0.0 | not played |  |
| 106 | Ivern | 0.0 | not played |  |
| 107 | Janna | 0.0 | not played |  |
| 108 | Jhin | 0.0 | not played |  |
| 109 | Kassadin | 0.0 | not played |  |
| 110 | Kayle | 0.0 | not played |  |
| 111 | Kled | 0.0 | not played |  |
| 112 | Lillia | 0.0 | not played |  |
| 113 | Lucian | 0.0 | not played |  |
| 114 | Lux | 0.0 | not played |  |
| 115 | Malzahar | 0.0 | not played |  |
| 116 | Master Yi | 0.0 | not played |  |
| 117 | Miss Fortune | 0.0 | not played |  |
| 118 | Mordekaiser | 0.0 | not played |  |
| 119 | Morgana | 0.0 | not played |  |
| 120 | Nami | 0.0 | not played |  |
| 121 | Nasus | 0.0 | not played |  |
| 122 | Neeko | 0.0 | not played |  |
| 123 | Nilah | 0.0 | not played |  |
| 124 | Orianna | 0.0 | not played |  |
| 125 | Rammus | 0.0 | not played |  |
| 126 | Rell | 0.0 | not played |  |
| 127 | Renata Glasc | 0.0 | not played |  |
| 128 | Renekton | 0.0 | not played |  |
| 129 | Ryze | 0.0 | not played |  |
| 130 | Sejuani | 0.0 | not played |  |
| 131 | Sett | 0.0 | not played |  |
| 132 | Shen | 0.0 | not played |  |
| 133 | Shyvana | 0.0 | not played |  |
| 134 | Singed | 0.0 | not played |  |
| 135 | Sion | 0.0 | not played |  |
| 136 | Skarner | 0.0 | not played |  |
| 137 | Sona | 0.0 | not played |  |
| 138 | Soraka | 0.0 | not played |  |
| 139 | Swain | 0.0 | not played |  |
| 140 | Tahm Kench | 0.0 | not played |  |
| 141 | Taric | 0.0 | not played |  |
| 142 | Teemo | 0.0 | not played |  |
| 143 | Tryndamere | 0.0 | not played |  |
| 144 | Twisted Fate | 0.0 | not played |  |
| 145 | Urgot | 0.0 | not played |  |
| 146 | Veigar | 0.0 | not played |  |
| 147 | Vel'Koz | 0.0 | not played |  |
| 148 | Viktor | 0.0 | not played |  |
| 149 | Volibear | 0.0 | not played |  |
| 150 | Warwick | 0.0 | not played |  |
| 151 | Xerath | 0.0 | not played |  |
| 152 | Yorick | 0.0 | not played |  |
| 153 | Ziggs | 0.0 | not played |  |
| 154 | Zilean | 0.0 | not played |  |
| 155 | Zyra | 0.0 | not played |  |
| 156 | Poppy | -2.0 | [kookykrook](https://www.op.gg/summoners/na/kookykrook) |  |
| 157 | Kai'Sa | -2.8 | [Stend](https://www.op.gg/summoners/euw/Stend) | [avarice61](https://www.op.gg/summoners/euw/avarice61) |
| 158 | Vayne | -4.8 | [daoxinwengu1](https://www.op.gg/summoners/kr/daoxinwengu1) |  |
| 159 | Taliyah | -5.8 | [TheRoyalKanin](https://www.op.gg/summoners/euw/TheRoyalKanin) |  |
| 160 | Yone | -6.2 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) |  |
| 161 | Maokai | -6.4 | [zyb](https://www.op.gg/summoners/euw/zyb) |  |
| 162 | Ornn | -10.6 | [Ushuala](https://www.op.gg/summoners/euw/Ushuala) |  |
| 163 | Irelia | -18.2 | [TwTVxKenzuke](https://www.op.gg/summoners/euw/TwTVxKenzuke) |  |
