||Champion|Points|Best Player|Worst Player| 
|-|-|-|-|-| 
| 1 | Rakan | 338.8 | [BRO Gyosoo](https://www.op.gg/summoners/kr/BRO Gyosoo) | [TL Honda Rovex](https://www.op.gg/summoners/na/TL Honda Rovex) |
| 2 | Cassiopeia | 277.8 | [Faker SIayer](https://www.op.gg/summoners/euw/Faker SIayer) | [zyb](https://www.op.gg/summoners/euw/zyb) |
| 3 | Xayah | 262.2 | [i wanted u](https://www.op.gg/summoners/kr/i wanted u) | [udo1zO5x3](https://www.op.gg/summoners/kr/udo1zO5x3) |
| 4 | Lee Sin | 257.6 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) | [Mohamed du 56](https://www.op.gg/summoners/euw/Mohamed du 56) |
| 5 | Sylas | 168.4 | [막스 배르스타펜](https://www.op.gg/summoners/kr/막스 배르스타펜) | [TYPE R12SCF](https://www.op.gg/summoners/euw/TYPE R12SCF) |
| 6 | Kindred | 160.6 | [hwa i tings](https://www.op.gg/summoners/kr/hwa i tings) | [키보드에음료쏟아서고장내는이도윤](https://www.op.gg/summoners/kr/키보드에음료쏟아서고장내는이도윤) |
| 7 | Aphelios | 160.0 | [난화내](https://www.op.gg/summoners/kr/난화내) | [cha Liang](https://www.op.gg/summoners/kr/cha Liang) |
| 8 | Blitzcrank | 135.2 | [Lee Chαndler](https://www.op.gg/summoners/euw/Lee Chαndler) | [PORTUGUESE GALA](https://www.op.gg/summoners/euw/PORTUGUESE GALA) |
| 9 | Jarvan IV | 133.8 | [Baby Tarz1](https://www.op.gg/summoners/euw/Baby Tarz1) | [bellacu](https://www.op.gg/summoners/na/bellacu) |
| 10 | Jinx | 128.4 | [Quotrell grrr](https://www.op.gg/summoners/euw/Quotrell grrr) | [FA Kingdom](https://www.op.gg/summoners/kr/FA Kingdom) |
| 11 | Thresh | 127.0 | [DDDRX](https://www.op.gg/summoners/kr/DDDRX) | [zyb](https://www.op.gg/summoners/euw/zyb) |
| 12 | Draven | 122.2 | [niinim](https://www.op.gg/summoners/na/niinim) |  |
| 13 | Viego | 117.4 | [Longttime](https://www.op.gg/summoners/kr/Longttime) | [GO lyncas](https://www.op.gg/summoners/euw/GO lyncas) |
| 14 | Lissandra | 115.0 | [gpnoeynu](https://www.op.gg/summoners/kr/gpnoeynu) | [wo naozi buhao](https://www.op.gg/summoners/kr/wo naozi buhao) |
| 15 | Milio | 112.6 | [NORDKASING](https://www.op.gg/summoners/euw/NORDKASING) | [씨맥당신은틀렸어](https://www.op.gg/summoners/kr/씨맥당신은틀렸어) |
| 16 | Zeri | 109.0 | [EU Red](https://www.op.gg/summoners/na/EU Red) | [KARELIASABUSER69](https://www.op.gg/summoners/euw/KARELIASABUSER69) |
| 17 | Malphite | 100.2 | [미친듯이 파이팅](https://www.op.gg/summoners/kr/미친듯이 파이팅) | [u good me better](https://www.op.gg/summoners/euw/u good me better) |
| 18 | Ahri | 98.6 | [Faker SIayer](https://www.op.gg/summoners/euw/Faker SIayer) | [Want To Be Young](https://www.op.gg/summoners/kr/Want To Be Young) |
| 19 | Jax | 96.8 | [자신감잃지마이현](https://www.op.gg/summoners/kr/자신감잃지마이현) |  |
| 20 | Yasuo | 94.0 | [자신감을잃지말자](https://www.op.gg/summoners/kr/자신감을잃지말자) |  |
| 21 | LeBlanc | 92.0 | [Chasyyyyyyyyy](https://www.op.gg/summoners/euw/Chasyyyyyyyyy) | [T1 미드 테스트](https://www.op.gg/summoners/kr/T1 미드 테스트) |
| 22 | Graves | 81.0 | [aespa karina99](https://www.op.gg/summoners/euw/aespa karina99) |  |
| 23 | Nidalee | 76.4 | [Longttime](https://www.op.gg/summoners/kr/Longttime) | [TH Krillin](https://www.op.gg/summoners/euw/TH Krillin) |
| 24 | K'Sante | 71.0 | [lvyepeihonghua](https://www.op.gg/summoners/kr/lvyepeihonghua) | [asd233](https://www.op.gg/summoners/kr/asd233) |
| 25 | Fiora | 70.0 | not played |  |
| 26 | Olaf | 66.4 | [Strey en mission](https://www.op.gg/summoners/euw/Strey en mission) | [Photon1](https://www.op.gg/summoners/euw/Photon1) |
| 27 | Lulu | 65.0 | [Nightmisty](https://www.op.gg/summoners/na/Nightmisty) |  |
| 28 | Evelynn | 60.0 | not played |  |
| 29 | Kalista | 57.8 | [SPOLFCEI ](https://www.op.gg/summoners/euw/SPOLFCEI ) |  |
| 30 | Nocturne | 54.0 | [TH Krillin](https://www.op.gg/summoners/euw/TH Krillin) |  |
| 31 | Akshan | 48.6 | [Zeus Slayer](https://www.op.gg/summoners/euw/Zeus Slayer) | [lvyepeihonghua](https://www.op.gg/summoners/kr/lvyepeihonghua) |
| 32 | Quinn | 48.6 | [살퀸레](https://www.op.gg/summoners/kr/살퀸레) |  |
| 33 | Kog'Maw | 48.2 | [udo1zO5x3](https://www.op.gg/summoners/kr/udo1zO5x3) |  |
| 34 | Riven | 47.2 | [Been you](https://www.op.gg/summoners/euw/Been you) |  |
| 35 | Leona | 46.4 | [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) | [Dazbee9](https://www.op.gg/summoners/kr/Dazbee9) |
| 36 | Vi | 46.2 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) |  |
| 37 | Vladimir | 46.0 | [IllllIIIIllllIIl](https://www.op.gg/summoners/na/IllllIIIIllllIIl) |  |
| 38 | Annie | 45.8 | [앗싸 지렸다리](https://www.op.gg/summoners/kr/앗싸 지렸다리) | [gpnoeynu](https://www.op.gg/summoners/kr/gpnoeynu) |
| 39 | Syndra | 45.0 | [Bae Suzy](https://www.op.gg/summoners/kr/Bae Suzy) | [Lιght1](https://www.op.gg/summoners/euw/Lιght1) |
| 40 | Fiddlesticks | 44.8 | [Nikkone](https://www.op.gg/summoners/na/Nikkone) |  |
| 41 | Qiyana | 40.0 | not played |  |
| 42 | Rengar | 40.0 | not played |  |
| 43 | Twitch | 40.0 | not played |  |
| 44 | Pyke | 39.0 | [씨맥당신은틀렸어](https://www.op.gg/summoners/kr/씨맥당신은틀렸어) |  |
| 45 | Talon | 38.6 | [K405 N815](https://www.op.gg/summoners/euw/K405 N815) |  |
| 46 | Gragas | 36.6 | [GO toucouille](https://www.op.gg/summoners/euw/GO toucouille) | [Lee Chαndler](https://www.op.gg/summoners/euw/Lee Chαndler) |
| 47 | Karthus | 30.8 | [naiyoubaby](https://www.op.gg/summoners/kr/naiyoubaby) |  |
